iter	Passed	Remaining
0	2	2459
1	4	2194
2	6	2242
3	8	2209
4	10	2116
5	12	2102
6	14	2089
7	17	2112
8	18	2074
9	21	2162
10	23	2123
11	25	2122
12	27	2096
13	30	2115
14	31	2090
15	33	2064
16	36	2088
17	37	2060
18	40	2076
19	42	2100
20	44	2090
21	46	2082
22	49	2084
23	50	2072
24	52	2059
25	54	2046
26	56	2053
27	58	2037
28	60	2032
29	62	2026
30	64	2018
31	66	2008
32	68	2002
33	70	1992
34	72	1989
35	74	1982
36	75	1974
37	77	1967
38	79	1961
39	81	1954
40	83	1953
41	85	1960
42	87	1956
43	89	1953
44	91	1949
45	93	1942
46	95	1935
47	97	1929
48	99	1927
49	101	1922
50	102	1915
51	104	1909
52	106	1902
53	108	1897
54	110	1898
55	112	1891
56	114	1886
57	115	1881
58	117	1874
59	119	1867
60	120	1862
61	122	1856
62	124	1854
63	126	1852
64	128	1851
65	130	1846
66	132	1843
67	134	1839
68	136	1835
69	137	1832
70	139	1827
71	141	1822
72	143	1817
73	144	1812
74	146	1807
75	148	1803
76	150	1800
77	151	1794
78	153	1791
79	155	1786
80	157	1784
81	159	1780
82	160	1777
83	162	1773
84	164	1771
85	166	1766
86	167	1761
87	169	1759
88	171	1755
89	173	1751
90	174	1747
91	176	1744
92	178	1740
93	180	1737
94	182	1734
95	183	1730
96	185	1728
97	187	1725
98	189	1722
99	191	1720
100	192	1717
101	194	1713
102	197	1716
103	198	1712
104	200	1708
105	202	1705
106	203	1702
107	205	1698
108	207	1695
109	209	1692
110	210	1689
111	212	1686
112	214	1683
113	216	1681
114	218	1678
115	219	1676
116	221	1672
117	223	1669
118	225	1667
119	226	1664
120	228	1660
121	230	1658
122	232	1655
123	233	1652
124	235	1649
125	237	1646
126	239	1644
127	240	1641
128	242	1637
129	244	1634
130	246	1632
131	247	1629
132	249	1626
133	251	1624
134	253	1622
135	254	1619
136	256	1617
137	258	1615
138	260	1612
139	262	1610
140	263	1608
141	265	1605
142	267	1602
143	269	1599
144	270	1597
145	272	1596
146	274	1594
147	276	1591
148	278	1589
149	280	1587
150	281	1584
151	283	1582
152	285	1579
153	287	1577
154	288	1575
155	290	1572
156	292	1570
157	294	1568
158	296	1565
159	297	1563
160	299	1560
161	301	1557
162	302	1554
163	304	1552
164	306	1550
165	308	1547
166	309	1545
167	311	1543
168	313	1540
169	315	1538
170	316	1536
171	318	1533
172	320	1531
173	322	1528
174	323	1526
175	325	1524
176	327	1522
177	329	1519
178	331	1518
179	332	1515
180	334	1512
181	336	1513
182	338	1511
183	340	1508
184	342	1507
185	343	1505
186	345	1503
187	347	1500
188	349	1498
189	350	1495
190	352	1494
191	354	1492
192	356	1489
193	357	1487
194	359	1485
195	361	1483
196	363	1480
197	365	1478
198	366	1476
199	368	1474
200	370	1472
201	372	1470
202	374	1468
203	375	1466
204	377	1464
205	379	1461
206	381	1460
207	382	1457
208	384	1455
209	386	1453
210	388	1451
211	389	1449
212	391	1447
213	393	1445
214	395	1443
215	397	1441
216	399	1439
217	400	1437
218	402	1436
219	404	1433
220	406	1431
221	407	1429
222	409	1427
223	411	1426
224	413	1424
225	415	1422
226	417	1421
227	419	1419
228	420	1417
229	422	1415
230	424	1413
231	426	1411
232	428	1409
233	429	1407
234	431	1405
235	433	1403
236	435	1401
237	437	1399
238	438	1397
239	440	1396
240	442	1393
241	444	1391
242	445	1389
243	447	1387
244	449	1384
245	451	1383
246	452	1380
247	454	1378
248	456	1376
249	458	1374
250	459	1372
251	461	1370
252	463	1367
253	465	1365
254	466	1363
255	468	1361
256	470	1359
257	472	1357
258	473	1355
259	475	1353
260	477	1351
261	479	1349
262	480	1347
263	482	1345
264	484	1343
265	486	1341
266	487	1339
267	489	1337
268	491	1335
269	493	1333
270	494	1331
271	496	1329
272	498	1328
273	500	1326
274	502	1324
275	504	1322
276	505	1320
277	507	1317
278	509	1315
279	510	1313
280	512	1311
281	514	1309
282	516	1307
283	518	1305
284	519	1303
285	521	1301
286	523	1299
287	525	1297
288	526	1296
289	528	1294
290	530	1292
291	532	1290
292	534	1288
293	535	1286
294	537	1285
295	539	1283
296	541	1280
297	542	1279
298	544	1277
299	546	1275
300	548	1273
301	550	1271
302	552	1270
303	553	1267
304	555	1265
305	557	1263
306	558	1261
307	560	1259
308	562	1257
309	564	1255
310	566	1254
311	568	1252
312	569	1250
313	571	1248
314	573	1246
315	575	1245
316	576	1243
317	578	1241
318	580	1239
319	582	1237
320	583	1235
321	585	1233
322	587	1231
323	589	1229
324	590	1226
325	592	1224
326	594	1222
327	595	1220
328	597	1218
329	599	1216
330	601	1215
331	602	1212
332	604	1210
333	606	1208
334	608	1207
335	609	1205
336	611	1203
337	613	1201
338	614	1199
339	616	1197
340	618	1195
341	620	1193
342	622	1191
343	623	1189
344	625	1187
345	627	1185
346	628	1183
347	630	1181
348	632	1179
349	633	1177
350	635	1175
351	637	1173
352	639	1171
353	641	1170
354	642	1168
355	644	1166
356	646	1164
357	648	1162
358	650	1160
359	651	1158
360	653	1157
361	655	1155
362	657	1153
363	659	1151
364	660	1149
365	662	1147
366	664	1146
367	666	1144
368	668	1142
369	669	1140
370	671	1138
371	673	1136
372	675	1134
373	676	1132
374	678	1131
375	680	1129
376	682	1127
377	684	1126
378	686	1124
379	687	1122
380	689	1120
381	691	1118
382	693	1116
383	694	1114
384	696	1112
385	698	1110
386	700	1108
387	701	1106
388	703	1105
389	705	1103
390	707	1101
391	708	1099
392	711	1098
393	713	1096
394	714	1094
395	716	1092
396	718	1091
397	720	1089
398	721	1087
399	723	1085
400	725	1083
401	727	1081
402	728	1079
403	730	1078
404	732	1076
405	734	1074
406	735	1072
407	737	1070
408	739	1068
409	741	1066
410	742	1064
411	744	1062
412	746	1060
413	748	1058
414	749	1056
415	751	1054
416	753	1053
417	754	1051
418	756	1049
419	758	1047
420	760	1045
421	761	1043
422	763	1041
423	765	1039
424	766	1037
425	768	1035
426	770	1033
427	772	1031
428	773	1030
429	775	1028
430	777	1026
431	779	1024
432	781	1022
433	782	1020
434	784	1019
435	786	1017
436	788	1015
437	789	1013
438	791	1011
439	793	1009
440	795	1007
441	797	1006
442	798	1004
443	800	1002
444	802	1001
445	804	999
446	806	997
447	807	995
448	809	993
449	811	991
450	813	990
451	815	988
452	816	986
453	818	984
454	820	982
455	822	980
456	823	978
457	825	977
458	827	975
459	829	973
460	831	971
461	832	970
462	834	968
463	836	966
464	838	964
465	840	962
466	841	960
467	843	958
468	845	957
469	847	955
470	849	953
471	850	951
472	852	949
473	854	948
474	856	946
475	857	944
476	859	942
477	861	941
478	863	939
479	865	937
480	866	935
481	868	933
482	870	931
483	872	929
484	873	927
485	875	926
486	877	924
487	879	922
488	880	920
489	882	918
490	884	916
491	886	915
492	888	913
493	889	911
494	891	909
495	893	907
496	895	906
497	897	904
498	899	902
499	900	900
500	902	899
501	904	897
502	906	895
503	908	893
504	909	891
505	911	889
506	913	888
507	915	886
508	916	884
509	918	882
510	920	880
511	922	879
512	924	877
513	925	875
514	927	873
515	929	871
516	931	869
517	932	868
518	934	866
519	936	864
520	938	862
521	940	860
522	941	858
523	943	857
524	945	855
525	947	853
526	949	851
527	950	850
528	952	848
529	954	846
530	956	844
531	958	843
532	960	841
533	961	839
534	963	837
535	965	835
536	967	833
537	968	832
538	971	830
539	972	828
540	974	826
541	976	825
542	978	823
543	980	821
544	981	819
545	983	817
546	985	815
547	987	814
548	988	812
549	990	810
550	992	808
551	994	806
552	995	805
553	997	803
554	999	801
555	1001	799
556	1003	798
557	1005	796
558	1007	794
559	1008	792
560	1010	790
561	1012	788
562	1014	787
563	1016	785
564	1017	783
565	1019	781
566	1021	780
567	1024	778
568	1026	777
569	1028	775
570	1029	773
571	1031	771
572	1033	770
573	1035	768
574	1036	766
575	1038	764
576	1040	762
577	1042	760
578	1043	758
579	1045	757
580	1047	755
581	1049	753
582	1050	751
583	1052	749
584	1054	747
585	1056	746
586	1058	744
587	1059	742
588	1061	740
589	1063	739
590	1065	737
591	1066	735
592	1068	733
593	1070	731
594	1072	729
595	1074	728
596	1076	726
597	1077	724
598	1079	722
599	1081	721
600	1083	719
601	1085	717
602	1086	715
603	1088	713
604	1090	711
605	1092	710
606	1094	708
607	1095	706
608	1097	704
609	1099	702
610	1101	701
611	1102	699
612	1104	697
613	1106	695
614	1108	693
615	1110	692
616	1113	690
617	1116	690
618	1118	688
619	1121	687
620	1123	685
621	1125	684
622	1128	682
623	1130	681
624	1132	679
625	1133	677
626	1135	675
627	1137	673
628	1139	672
629	1141	670
630	1143	668
631	1144	666
632	1146	664
633	1148	662
634	1150	661
635	1152	659
636	1153	657
637	1155	655
638	1157	653
639	1159	651
640	1160	650
641	1162	648
642	1164	646
643	1165	644
644	1168	642
645	1169	641
646	1171	639
647	1173	637
648	1175	635
649	1177	633
650	1179	632
651	1180	630
652	1182	628
653	1184	626
654	1186	624
655	1188	623
656	1190	621
657	1191	619
658	1193	617
659	1195	615
660	1197	613
661	1198	612
662	1200	610
663	1202	608
664	1204	606
665	1205	604
666	1207	602
667	1209	601
668	1211	599
669	1212	597
670	1214	595
671	1216	593
672	1218	591
673	1220	590
674	1221	588
675	1223	586
676	1225	584
677	1227	582
678	1228	580
679	1230	579
680	1232	577
681	1234	575
682	1236	573
683	1237	571
684	1239	570
685	1241	568
686	1243	566
687	1244	564
688	1246	562
689	1248	560
690	1250	559
691	1252	557
692	1253	555
693	1255	553
694	1257	551
695	1259	550
696	1261	548
697	1262	546
698	1264	544
699	1266	542
700	1268	540
701	1270	539
702	1271	537
703	1273	535
704	1275	533
705	1277	531
706	1278	530
707	1280	528
708	1282	526
709	1284	524
710	1285	522
711	1287	520
712	1289	518
713	1290	517
714	1292	515
715	1294	513
716	1295	511
717	1297	509
718	1299	507
719	1301	505
720	1302	504
721	1304	502
722	1306	500
723	1308	498
724	1309	496
725	1311	495
726	1313	493
727	1315	491
728	1317	489
729	1319	487
730	1320	486
731	1322	484
732	1324	482
733	1325	480
734	1327	478
735	1329	476
736	1331	475
737	1332	473
738	1334	471
739	1336	469
740	1338	467
741	1339	465
742	1341	464
743	1343	462
744	1344	460
745	1346	458
746	1348	456
747	1350	454
748	1351	453
749	1353	451
750	1355	449
751	1357	447
752	1359	445
753	1360	443
754	1362	442
755	1364	440
756	1366	438
757	1367	436
758	1369	434
759	1371	433
760	1373	431
761	1375	429
762	1376	427
763	1378	425
764	1380	424
765	1382	422
766	1383	420
767	1385	418
768	1387	416
769	1389	415
770	1391	413
771	1393	411
772	1394	409
773	1396	407
774	1398	405
775	1400	404
776	1402	402
777	1403	400
778	1405	398
779	1407	396
780	1409	395
781	1410	393
782	1412	391
783	1414	389
784	1416	387
785	1417	386
786	1419	384
787	1421	382
788	1423	380
789	1426	379
790	1427	377
791	1429	375
792	1431	373
793	1433	371
794	1434	369
795	1436	368
796	1438	366
797	1440	364
798	1441	362
799	1443	360
800	1445	359
801	1447	357
802	1448	355
803	1450	353
804	1452	351
805	1454	350
806	1455	348
807	1457	346
808	1459	344
809	1461	342
810	1463	340
811	1464	339
812	1466	337
813	1468	335
814	1470	333
815	1472	331
816	1474	330
817	1475	328
818	1477	326
819	1479	324
820	1481	322
821	1482	321
822	1484	319
823	1486	317
824	1488	315
825	1490	313
826	1491	312
827	1493	310
828	1495	308
829	1497	306
830	1499	304
831	1500	303
832	1502	301
833	1504	299
834	1506	297
835	1507	295
836	1509	293
837	1511	292
838	1513	290
839	1514	288
840	1516	286
841	1518	284
842	1520	283
843	1521	281
844	1523	279
845	1525	277
846	1527	275
847	1528	274
848	1530	272
849	1532	270
850	1534	268
851	1536	266
852	1537	265
853	1539	263
854	1541	261
855	1542	259
856	1544	257
857	1546	255
858	1548	254
859	1549	252
860	1551	250
861	1553	248
862	1555	246
863	1557	245
864	1558	243
865	1560	241
866	1562	239
867	1564	237
868	1566	236
869	1568	234
870	1569	232
871	1571	230
872	1573	228
873	1574	227
874	1577	225
875	1578	223
876	1580	221
877	1582	219
878	1584	218
879	1585	216
880	1587	214
881	1589	212
882	1590	210
883	1592	208
884	1594	207
885	1596	205
886	1598	203
887	1599	201
888	1601	199
889	1603	198
890	1605	196
891	1606	194
892	1608	192
893	1610	190
894	1612	189
895	1613	187
896	1615	185
897	1617	183
898	1619	181
899	1621	180
900	1622	178
901	1624	176
902	1626	174
903	1628	172
904	1630	171
905	1631	169
906	1633	167
907	1635	165
908	1637	163
909	1638	162
910	1640	160
911	1642	158
912	1644	156
913	1645	154
914	1647	153
915	1649	151
916	1651	149
917	1652	147
918	1654	145
919	1656	144
920	1658	142
921	1659	140
922	1661	138
923	1663	136
924	1664	134
925	1666	133
926	1668	131
927	1670	129
928	1672	127
929	1673	125
930	1675	124
931	1677	122
932	1679	120
933	1681	118
934	1683	117
935	1684	115
936	1686	113
937	1688	111
938	1690	109
939	1691	107
940	1693	106
941	1695	104
942	1697	102
943	1698	100
944	1700	98
945	1702	97
946	1704	95
947	1705	93
948	1707	91
949	1709	89
950	1711	88
951	1713	86
952	1714	84
953	1716	82
954	1718	80
955	1719	79
956	1721	77
957	1723	75
958	1725	73
959	1727	71
960	1728	70
961	1730	68
962	1732	66
963	1734	64
964	1736	62
965	1737	61
966	1739	59
967	1741	57
968	1743	55
969	1745	53
970	1746	52
971	1748	50
972	1750	48
973	1752	46
974	1753	44
975	1755	43
976	1757	41
977	1759	39
978	1760	37
979	1762	35
980	1764	34
981	1766	32
982	1768	30
983	1769	28
984	1771	26
985	1773	25
986	1775	23
987	1776	21
988	1778	19
989	1780	17
990	1781	16
991	1783	14
992	1785	12
993	1787	10
994	1789	8
995	1790	7
996	1792	5
997	1794	3
998	1796	1
999	1797	0
